Decision Tree,Gradient Boosting,Linear SVM,Random Forest,SGDClassifier,Voted,id,original toxicity,zcomment
0.0,0.0,0.0,0.0,0.0,0.0,176298263.0,0.0,nguyn dynasti stop massiv remov on the page nguyn dynasti you blank too much others' edit
0.0,0.0,0.0,0.0,0.0,0.0,640553945.0,0.0,to user talk page clear
0.0,0.0,0.0,0.0,0.0,0.0,438694277.0,-1.0,do so sexual with me
0.0,0.0,0.0,0.0,0.0,0.0,147640755.0,0.0,ll fix eventu if you don't
0.0,0.0,0.0,0.0,0.0,0.0,8078390.0,0.0,the person who ad the section is extrem stubborn he start a revert war when anyon touch hi write look at the edit histori he feel that anyth but the blatant proseparatist bia is a supress of hi free speech the articl is rel obscur thu there is not enough peer pressur to remov the propaganda if you edit or remov the pov materi i will support you in case he revert again
0.0,0.0,0.0,0.0,0.0,0.0,47116510.0,0.0,remov merg  april
0.0,0.0,0.0,0.0,0.0,0.0,330296909.0,0.0,the lord of the ring
0.0,0.0,0.0,0.0,0.0,0.0,248032064.0,0.0,lead by ashley nichol
0.0,0.0,0.0,0.0,0.0,0.0,276416148.0,0.0,redirect talkghost marriag chines
0.0,0.0,0.0,0.0,0.0,0.0,384020349.0,0.0,not blank mere chang the way the articl is written it' not a plan cast it' a confirm cast
0.0,0.0,0.0,0.0,0.0,0.0,438085401.0,0.0,sound more like you were insinu
0.0,0.0,0.0,0.0,0.0,0.0,697514711.0,0.0,stylescurr onli vs both vs none
0.0,0.0,0.0,0.0,0.0,0.0,405385133.0,0.0,edit request from prakashkitti januari
0.0,0.0,0.0,0.0,0.0,0.0,93059698.0,0.0,the internet beatl album
0.0,0.0,0.0,0.0,0.0,0.0,62664984.0,0.0,updat check the tech talk page for my demand i remain the mask flag of freedom
0.0,0.0,0.0,0.0,0.0,0.0,243580345.0,0.0,octob    with the
0.0,0.0,0.0,0.0,0.0,0.0,474524109.0,0.0,old afd multipagelist of san francisco ballet repertoryd januari resultkeep
0.0,0.0,0.0,0.0,0.0,0.0,31738584.0,0.0,decemb
0.0,0.0,0.0,0.0,0.0,0.0,135713479.0,0.0,classstartimportancemidneedsinfoboxnoinfonot much here with one possibl refer movevictorian colleg for the deaf melbourn victoria
0.0,0.0,0.0,0.0,0.0,0.0,508641584.0,0.0,hyperlink remov
0.0,0.0,0.0,0.0,0.0,0.0,508684922.0,0.0,what i don't even realli have an idea of what you'r talk about
0.0,0.0,0.0,0.0,0.0,0.0,213628672.0,0.0,tomorrow i promis p
0.0,0.0,0.0,0.0,0.0,0.0,251089242.0,0.0,redirect talkguillermo garca lpez
0.0,0.0,0.0,0.0,0.0,0.0,77010506.0,0.0,do you no as long as you cant prove it
0.0,0.0,0.0,0.0,0.0,0.0,291925926.0,0.0,may  stop
-1.0,-1.0,0.0,-1.0,-1.0,-1.0,475723825.0,-1.0,said to me shitstir troll fuck off moron on wpani is that also a breach of civil civil ye i am sorri but i don't think i'v been adequ uncivil here or do you mean i have to be sycophant barri
0.0,0.0,0.0,0.0,0.0,0.0,666401964.0,0.0,redirect talkcornelia van auken chapin
0.0,0.0,0.0,0.0,0.0,0.0,161553171.0,0.0,question when wa mike allr born
0.0,0.0,0.0,0.0,0.0,0.0,635528789.0,0.0,gonna do about it yeahe yeah yeahe shake it yeahe yeahe yeah
0.0,0.0,0.0,0.0,0.0,0.0,365725676.0,1.0,hello good work on thi articl i'v been on a small mission to tri and promot rugbi articl to the main page so i'v nomin it for dyk you might want to keep an eye on it in case ani queri come up keep up the good work
0.0,0.0,0.0,0.0,0.0,0.0,345589300.0,-1.0,wikipedia' new busi pimp slut like stop that now
0.0,0.0,0.0,0.0,0.0,0.0,79092534.0,0.0,and accur articl on a controversi subject then it should not produc
0.0,0.0,0.0,0.0,0.0,0.0,695437195.0,0.0,the second exampl in your sandbox is what i wa think and it doesn't take up that much extra space
0.0,0.0,0.0,0.0,0.0,0.0,392175916.0,0.0,agha sumair khan babar
0.0,0.0,0.0,0.0,0.0,0.0,241967652.0,0.0,all link to wplead
0.0,0.0,0.0,0.0,0.0,0.0,45098836.0,0.0,bluerain march
0.0,0.0,0.0,0.0,0.0,0.0,25351161.0,0.0,octob
1.0,1.0,0.0,1.0,1.0,1.0,140146510.0,1.0,one sentenc is undu weight pleas review wikipiedia' pillar concern good faith and neutral thank
0.0,0.0,0.0,0.0,0.0,0.0,81145010.0,0.0,is deelishi gonna lose  there is also a rummor that deelishi may have lost accord to a comment she made on bet black carpent say she wa veri singl and that ir wa a pleasur meet flavor flav check out httpwwwvhcominteractboardsmainjhtmlflavorofloveviewthreadtidmidoffsetindex
0.0,0.0,0.0,0.0,0.0,0.0,174781922.0,0.0,ok don't put on a fabric anymor
0.0,0.0,0.0,0.0,0.0,0.0,468614340.0,0.0,i haven't encount ani issu with the site
0.0,0.0,0.0,0.0,0.0,0.0,539731871.0,0.0,it' alreadi in the articl
0.0,0.0,0.0,0.0,0.0,0.0,61362419.0,0.0,'''bold text headlin text mediaexampleogginsert nonformat text here  redirect insert textbold text
0.0,0.0,0.0,0.0,0.0,0.0,550110353.0,0.0,pembrok pine
-1.0,-1.0,0.0,-1.0,-1.0,-1.0,227223032.0,-1.0,tell that crap to amib will ya
0.0,0.0,0.0,0.0,0.0,0.0,315271406.0,0.0,lista unit state senat elect in delawar
1.0,1.0,0.0,0.0,0.0,0.0,47553772.0,1.0,toc  styleborderspacingpxmarginpx px width classmainpagebg stylewidth borderpx solid backgroundcolorffffa verticalaligntopcolorfonts  width cellpad cellspac styleverticalaligntop backgroundcolorffffa  hello welcom to wikipedia thank you for sign up here are some recommend guidelin to facilit your involv best of luck have fun  styleborderspacingpxmarginpx px width classmainpagebg stylewidth borderpx solid ffffff backgroundcolorffffa verticalaligntop width cellpad cellspac styleverticalaligntop backgroundcolorffffa get start stylecolor wikipedia tutori how to edit a page the five pillar of wikipedia manual of style be bold in edit how to write a great articl  get your info out there  stylecolor cite your sourc neutral point of view point of view verifi upload imag imag use polici  get more wikipedia rule  stylecolor polici librari  classmainpagebg stylewidth borderpx solid ffffff backgroundcolorffffa verticalaligntop width cellpad cellspac styleverticalaligntop backgroundcolorffffa get help stylecolor where to ask a question help desk  get along stylecolor wikiquett civil sign your post conflict resolut  get technic stylecolor  page need attent peer review util villag pump
0.0,0.0,0.0,0.0,0.0,0.0,238873864.0,0.0,redirect talkpillow talk film
0.0,0.0,0.0,0.0,0.0,0.0,531482380.0,0.0,japanes link  httpwwwatwikijpgballpageshtml httpwwwatwikijpgballpageshtml httpwwwatwikijpfamicomallpageshtml httpwwwatwikijpgballpageshtml
0.0,0.0,0.0,0.0,0.0,0.0,131874772.0,0.0,for the actual movi
0.0,0.0,0.0,0.0,0.0,0.0,11190804.0,0.0,i have creat a request for comment against pleas see wikipediarequest for commentmichaelm
0.0,0.0,0.0,0.0,0.0,0.0,35548600.0,0.0,address of proxi server
0.0,0.0,0.0,0.0,0.0,0.0,276298871.0,0.0,uh hugh go tell that to africa
0.0,0.0,0.0,0.0,0.0,0.0,136386658.0,0.0,june signatur ad by
0.0,0.0,0.0,0.0,0.0,0.0,120012661.0,0.0,slunn pm rd april
0.0,0.0,0.0,0.0,0.0,0.0,10065275.0,0.0,feb
0.0,0.0,0.0,0.0,0.0,0.0,478635090.0,0.0,right so where' the block for the peopl who fals accus me of vandal
0.0,0.0,0.0,0.0,0.0,0.0,165111828.0,0.0,one possibl solut mayb could
0.0,0.0,0.0,0.0,0.0,0.0,185301438.0,0.0,redirect talkjenni wade actress
0.0,0.0,0.0,0.0,0.0,0.0,66182383.0,0.0,juli  keep
0.0,0.0,0.0,0.0,0.0,0.0,96483965.0,0.0,save the world with jesu christ
0.0,0.0,0.0,0.0,0.0,0.0,306181772.0,0.0,redirect talknd street jackson height irt flush line
0.0,0.0,0.0,0.0,0.0,0.0,474463133.0,0.0,thi is not a blp and even
0.0,0.0,0.0,0.0,0.0,0.0,409237554.0,0.0,decemb   and done
0.0,0.0,0.0,0.0,0.0,0.0,449113208.0,0.0,here the link from the offici site of lse httpwwwlondonstockexchangecomabouttheexchangemediarelationspressreleasesborsaitalianaandlondonstockexchangegrouptomergehtm
0.0,0.0,0.0,0.0,0.0,0.0,181435676.0,0.0,leav a new messag
